"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","92","","","","","","Entering a correct verification code",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","55","","","","","","Unregistered phone number shows hint and keeps login button inactive",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","120","","","","","","Inactive login button with empty fields",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","32","","","","","","Open the website",""
"passed","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:23 MSK 2023","5323","","","","","","Verify the welcome message changes based on the time of day",""
"broken","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","75","","","","","","Creating an account with missing information",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","123","","","","","","Requesting password recovery with a registered phone number",""
"broken","Sat Aug 12 20:01:16 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","233","","","","","","Active login button and successful login with valid credentials",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","56","","","","","","Entering an invalid recovery code",""
"broken","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","83","","","","","","Filling out all fields and creating an account",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","83","","","","","","Unsuccessful login with correct phone number but wrong password",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","62","","","","","","Requesting password recovery with an unregistered phone number",""
"broken","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","42","","","","","","Navigating to the registration page",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","50","","","","","","Inactive login button with one field empty",""
"broken","Sat Aug 12 20:01:18 MSK 2023","Sat Aug 12 20:01:18 MSK 2023","67","","","","","","Requesting a verification code",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","80","","","","","","Resetting password with a strong password",""
"broken","Sat Aug 12 20:01:17 MSK 2023","Sat Aug 12 20:01:17 MSK 2023","75","","","","","","Entering a valid recovery code",""
